scenario,seed,round,best_candidate_id,best_origin,winner_source,fallback_used,fallback_reason,selected_source
standard_moderate,42,1,r1_fixed_global_anchor,fixed_global_safety_anchor,noop_fallback,False,,fixed_global_safety_anchor
standard_moderate,42,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_moderate,42,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_moderate,43,1,r1_fixed_global_anchor,fixed_global_safety_anchor,noop_fallback,False,,fixed_global_safety_anchor
standard_moderate,43,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_moderate,43,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_moderate,44,1,r1_fixed_global_anchor,fixed_global_safety_anchor,noop_fallback,False,,fixed_global_safety_anchor
standard_moderate,44,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_moderate,44,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
resource_moderate,42,1,r1_backstop,deterministic_safe_backstop,noop_fallback,True,,deterministic_safe_backstop
resource_moderate,42,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
resource_moderate,42,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
resource_moderate,43,1,r1_anchor,deterministic_safe_anchor,safe_anchor,True,,deterministic_safe_anchor
resource_moderate,43,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
resource_moderate,43,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
resource_moderate,44,1,r1_backstop,deterministic_safe_backstop,noop_fallback,True,,deterministic_safe_backstop
resource_moderate,44,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
resource_moderate,44,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_severe,42,1,r1_backstop,deterministic_safe_backstop,noop_fallback,True,,deterministic_safe_backstop
standard_severe,42,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_severe,42,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_severe,43,1,r1_backstop,deterministic_safe_backstop,noop_fallback,True,,deterministic_safe_backstop
standard_severe,43,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_severe,43,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_severe,44,1,r1_backstop,deterministic_safe_backstop,noop_fallback,True,,deterministic_safe_backstop
standard_severe,44,2,r2_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
standard_severe,44,3,r3_feedback_refined,feedback_refined_candidate,noop_fallback,False,,feedback_refined_candidate
