scenario,method,seed,selected_candidate_id,candidate_source,validation_status,fallback_used,fallback_reason,selection_score,constraint_violation_rate_eval,invalid_action_rate_eval,critical_load_recovery_ratio,safety_capacity_index
standard_moderate,single_shot_llm,42,r1_fixed_global_anchor,noop_fallback,valid,False,,0.41554063067270147,0.2183406113537118,0.2183406113537118,0.8742394149303436,0.7549530210409969
standard_moderate,single_shot_llm,43,r1_fixed_global_anchor,noop_fallback,valid,False,,0.2847959687312444,0.20833333333333334,0.20833333333333334,0.8510238528251648,0.7513828987876574
standard_moderate,single_shot_llm,44,r1_fixed_global_anchor,noop_fallback,valid,False,,0.4288347070941268,0.1963470319634703,0.1963470319634703,0.8310402433077494,0.7479068649890215
standard_moderate,full_outer_loop,42,r3_feedback_refined,noop_fallback,valid,False,,0.41554063067270147,0.2183406113537118,0.2183406113537118,0.8742394149303436,0.7549530210409969
standard_moderate,full_outer_loop,43,r3_feedback_refined,noop_fallback,valid,False,,0.2847959687312444,0.20833333333333334,0.20833333333333334,0.8510238528251648,0.7513828987876574
standard_moderate,full_outer_loop,44,r3_feedback_refined,noop_fallback,valid,False,,0.4288347070941268,0.1963470319634703,0.1963470319634703,0.8310402433077494,0.7479068649890215
resource_moderate,single_shot_llm,42,r1_backstop,noop_fallback,valid,True,,0.3455287645061811,0.0,0.0,0.9092339475949606,0.8244499415159225
resource_moderate,single_shot_llm,43,r1_anchor,safe_anchor,valid,True,,0.3466911071737607,0.0,0.0,0.9139358202616373,0.8260588318109513
resource_moderate,single_shot_llm,44,r1_fixed_global_anchor,noop_fallback,valid,False,,0.3134976644714673,0.07916666666666666,0.07916666666666666,0.892105390628179,0.7946977075934409
resource_moderate,full_outer_loop,42,r3_feedback_refined,noop_fallback,valid,False,,0.3455287645061811,0.0,0.0,0.9092339475949606,0.8244499415159225
resource_moderate,full_outer_loop,43,r3_feedback_refined,noop_fallback,valid,False,,0.3466911071737607,0.0,0.0,0.9139358202616373,0.8260588318109513
resource_moderate,full_outer_loop,44,r3_feedback_refined,noop_fallback,valid,False,,0.34867744902769726,0.0,0.0,0.9217936297257742,0.8288458302617073
standard_severe,single_shot_llm,42,r1_backstop,noop_fallback,valid,True,,0.33946843979756036,0.0,0.0,0.8615386585394541,0.8180529882510503
standard_severe,single_shot_llm,43,r1_backstop,noop_fallback,valid,True,,0.4750777199015961,0.0,0.0,0.8675095240275065,0.8214612528681755
standard_severe,single_shot_llm,44,r1_backstop,noop_fallback,valid,True,,0.44255146429684883,0.0,0.0,0.8764612674713135,0.8224972690145175
standard_severe,full_outer_loop,42,r3_feedback_refined,noop_fallback,valid,False,,0.33946843979756036,0.0,0.0,0.8615386585394541,0.8180529882510503
standard_severe,full_outer_loop,43,r3_feedback_refined,noop_fallback,valid,False,,0.4750777199015961,0.0,0.0,0.8675095240275065,0.8214612528681755
standard_severe,full_outer_loop,44,r3_feedback_refined,noop_fallback,valid,False,,0.44255146429684883,0.0,0.0,0.8764612674713135,0.8224972690145175
